Step,Time,Wall,ForceX,ForceY,ForceZ
0,0.,5,0.,0.,0.
1,0.05,5,1.9429,0.000174824,5.9508e-12
2,0.1,5,2.42978,0.00325662,6.1906e-12
3,0.15,5,-0.370446,0.00330659,5.88862e-12
4,0.2,5,-0.962229,0.000199921,5.78737e-12
5,0.25,5,0.951618,-3.66614e-05,6.11244e-12
6,0.3,5,0.585867,0.00219405,5.77671e-12
7,0.35,5,0.450269,0.0029389,6.37534e-12
8,0.4,5,1.7204,0.00157228,6.01474e-12
9,0.45,5,1.48032,0.000209699,6.51568e-12
10,0.5,5,0.600952,0.00103474,6.25633e-12
11,0.55,5,-0.202855,0.00274017,5.97566e-12
12,0.6,5,-0.75193,0.00221913,6.39133e-12
13,0.65,5,-0.0269044,0.000554354,5.7625e-12
14,0.7,5,0.77393,0.000722921,5.90994e-12
15,0.75,5,0.444358,0.00217247,6.23324e-12
16,0.8,5,-0.196877,0.00239052,6.3487e-12
17,0.85,5,-0.116484,0.00114956,5.90639e-12
18,0.9,5,0.40465,0.000647921,5.47118e-12
19,0.95,5,0.362958,0.00165766,5.98632e-12
20,1.,5,-0.0521127,0.00230792,6.10534e-12
21,1.05,5,0.0108231,0.00157604,6.25988e-12
22,1.1,5,0.301094,0.000847412,6.23146e-12
23,1.15,5,0.221504,0.00128725,6.05027e-12
24,1.2,5,0.0512592,0.00204826,6.61871e-12
25,1.25,5,0.143169,0.00185807,5.77316e-12
26,1.3,5,0.215301,0.001111,5.67546e-12
27,1.35,5,0.13161,0.00110488,6.1906e-12
28,1.4,5,0.132439,0.00178206,5.68967e-12
29,1.45,5,0.189262,0.00193399,6.56186e-12
30,1.5,5,0.152149,0.00136373,5.97211e-12
31,1.55,5,0.130928,0.00110382,6.8674e-12
32,1.6,5,0.174434,0.00154771,6.09113e-12
33,1.65,5,0.169377,0.00187454,5.74296e-12
34,1.7,5,0.139089,0.00155744,6.26699e-12
35,1.75,5,0.155981,0.00120031,6.47837e-12
36,1.8,5,0.169181,0.00139484,6.13554e-12
37,1.85,5,0.153662,0.00174888,6.41265e-12
38,1.9,5,0.152177,0.00166378,6.01119e-12
39,1.95,5,0.160508,0.00133485,5.85842e-12
40,2.,5,0.157781,0.00132729,6.13909e-12
41,2.05,5,0.155187,0.00161415,6.20659e-12
42,2.1,5,0.156724,0.00169172,5.8602e-12
43,2.15,5,0.156486,0.00145659,5.86375e-12
44,2.2,5,0.156118,0.00133022,5.98099e-12
45,2.25,5,0.155715,0.00150755,5.7625e-12
46,2.3,5,0.155129,0.00166209,5.69322e-12
47,2.35,5,0.155574,0.00154218,6.61693e-12
48,2.4,5,0.15502,0.00137614,6.43929e-12
49,2.45,5,0.154017,0.00144232,5.71809e-12
50,2.5,5,0.154478,0.00160517,6.31317e-12
51,2.55,5,0.154301,0.00158527,5.91172e-12
52,2.6,5,0.1532,0.0014363,5.8904e-12
53,2.65,5,0.153207,0.00141833,6.57252e-12
54,2.7,5,0.153298,0.00154561,6.0254e-12
55,2.75,5,0.15252,0.00159192,5.9508e-12
56,2.8,5,0.152146,0.00149046,6.43396e-12
57,2.85,5,0.152154,0.00142507,6.26521e-12
58,2.9,5,0.151719,0.00149925,6.00053e-12
59,2.95,5,0.151269,0.00157503,6.04672e-12
60,3.,5,0.151105,0.00152743,5.75895e-12
61,3.05,5,0.150826,0.00144902,6.19949e-12
62,3.1,5,0.150444,0.00147273,5.58131e-12
63,3.15,5,0.150187,0.00154803,5.75007e-12
64,3.2,5,0.149947,0.00154507,5.6648e-12
65,3.25,5,0.14964,0.00147806,6.66134e-12
66,3.3,5,0.149367,0.00146528,6.16751e-12
67,3.35,5,0.149129,0.00152199,6.5512e-12
68,3.4,5,0.148871,0.00154724,5.97922e-12
69,3.45,5,0.148619,0.00150386,6.54943e-12
70,3.5,5,0.148385,0.0014722,6.4091e-12
71,3.55,5,0.148152,0.00150401,5.64704e-12
72,3.6,5,0.147927,0.00154071,6.17639e-12
73,3.65,5,0.147709,0.0015228,5.87619e-12
74,3.7,5,0.147493,0.00148783,6.09468e-12
75,3.75,5,0.14729,0.00149722,6.38778e-12
76,3.8,5,0.147091,0.00153252,6.11422e-12
77,3.85,5,0.146892,0.00153516,6.24745e-12
78,3.9,5,0.146703,0.00150743,6.01474e-12
79,3.95,5,0.146521,0.00150162,6.33271e-12
80,4.,5,0.146337,0.0015282,6.28297e-12
81,4.05,5,0.14616,0.00154352,5.84777e-12
82,4.1,5,0.145989,0.00152785,5.69322e-12
83,4.15,5,0.145818,0.00151508,6.2883e-12
84,4.2,5,0.14565,0.00153069,6.29541e-12
85,4.25,5,0.145486,0.00155084,5.97211e-12
86,4.3,5,0.145324,0.00154725,6.27054e-12
87,4.35,5,0.145161,0.00153422,6.10889e-12
88,4.4,5,0.145001,0.00154012,5.85132e-12
89,4.45,5,0.144842,0.00155905,6.24922e-12
90,4.5,5,0.144682,0.00156445,6.23857e-12
91,4.55,5,0.144523,0.00155516,5.80336e-12
92,4.6,5,0.144365,0.00155432,6.23857e-12
93,4.65,5,0.144206,0.00156843,6.23146e-12
94,4.7,5,0.144047,0.00157851,6.78746e-12
95,4.75,5,0.143887,0.00157425,6.25633e-12
96,4.8,5,0.143728,0.00156989,6.23146e-12
97,4.85,5,0.143568,0.00157793,6.13731e-12
98,4.9,5,0.143408,0.00158866,5.99165e-12
99,4.95,5,0.143248,0.00158871,6.20481e-12
100,5.,5,0.143088,0.00158343,6.16573e-12
101,5.05,5,0.142928,0.00158588,5.99876e-12
102,5.1,5,0.142769,0.00159443,6.69509e-12
103,5.15,5,0.142611,0.00159711,6.42508e-12
104,5.2,5,0.142453,0.00159251,6.51923e-12
105,5.25,5,0.142297,0.00159087,6.65779e-12
106,5.3,5,0.142143,0.00159587,6.07514e-12
107,5.35,5,0.141989,0.00159934,5.85842e-12
108,5.4,5,0.141838,0.00159612,6.17106e-12
109,5.45,5,0.141689,0.00159218,6.41798e-12
110,5.5,5,0.141542,0.00159356,6.30251e-12
111,5.55,5,0.141397,0.00159641,6.29186e-12
112,5.6,5,0.141255,0.00159453,5.54223e-12
113,5.65,5,0.141115,0.00158986,6.35403e-12
114,5.7,5,0.140977,0.00158837,5.93303e-12
115,5.75,5,0.140843,0.0015898,6.64713e-12
116,5.8,5,0.14071,0.00158884,5.90106e-12
117,5.85,5,0.140581,0.00158449,6.01119e-12
118,5.9,5,0.140454,0.00158122,5.65592e-12
119,5.95,5,0.140329,0.00158102,5.48361e-12
120,6.,5,0.140207,0.00158043,6.40021e-12
121,6.05,5,0.140088,0.00157689,5.83711e-12
